Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
ADANIENT,2025-11-20,LONG,QUIET,1.183689820097599,2454.0,2451.9,Time Limit (60m),-2.099999999999909,-1.0499999999999545,-314.99999999998636
ADANIENT,2025-11-24,SHORT,GOLD,1.8686876403807662,2406.6,2398.9,EOD,7.699999999999818,3.849999999999909,1154.9999999999727
ADANIENT,2025-11-27,SHORT,QUIET,1.3198341600651513,2295.8,2287.7,Time Limit (60m),8.100000000000364,4.050000000000182,1215.0000000000546
INDUSINDBK,2025-11-19,SHORT,GOLD,2.114663596374694,841.7,842.0,Time Limit (60m),-0.2999999999999545,-0.14999999999997726,-74.99999999998863
INDUSINDBK,2025-11-27,LONG,QUIET,1.3662334344218567,863.15,858.83425,SL Hit,-4.31574999999998,-2.15787499999999,-1078.937499999995
INFY,2025-11-21,LONG,GOLD,2.1096963863216023,1550.0,1545.1,Time Limit (60m),-4.900000000000091,-2.4500000000000455,-980.0000000000182
INFY,2025-11-24,LONG,QUIET,1.3541917686275609,1558.5,1550.7075,SL Hit,-7.792500000000018,-3.896250000000009,-1558.5000000000036
INFY,2025-11-25,SHORT,QUIET,1.1852176601553746,1530.3,1529.6,Time Limit (60m),0.7000000000000455,0.35000000000002274,140.0000000000091
INFY,2025-12-01,LONG,QUIET,1.1692205268228852,1567.8,1568.3,Time Limit (60m),0.5,0.25,100.0
INFY,2025-12-03,LONG,GOLD,1.8984448516285286,1575.8,1581.5,Time Limit (60m),5.7000000000000455,2.8500000000000227,1140.000000000009
BEL,2025-11-18,SHORT,GOLD,2.2665174924265767,420.95,421.6,EOD,-0.6500000000000341,-0.32500000000001705,-1852.5000000000973
BEL,2025-11-26,LONG,QUIET,1.3451045314470902,413.4,414.5,Time Limit (60m),1.1000000000000227,0.5500000000000114,3135.0000000000646
BEL,2025-11-28,SHORT,QUIET,1.366332888473331,410.5,410.75,Time Limit (60m),-0.25,-0.125,-712.5
BEL,2025-12-01,LONG,GOLD,1.7982496081571429,415.2,415.3,Time Limit (60m),0.10000000000002274,0.05000000000001137,285.0000000000648
TATASTEEL,2025-11-24,SHORT,QUIET,1.2661650526794919,166.4,166.61,Time Limit (60m),-0.21000000000000796,-0.10500000000000398,-577.5000000000218
TATASTEEL,2025-11-27,SHORT,QUIET,1.06287722226301,167.6,168.05,Time Limit (60m),-0.45000000000001705,-0.22500000000000853,-1237.5000000000468
TATASTEEL,2025-12-02,SHORT,QUIET,1.2362310208532616,167.57,168.08,Time Limit (60m),-0.5100000000000193,-0.25500000000000966,-1402.5000000000532
TATASTEEL,2025-12-03,SHORT,QUIET,1.004637421884194,166.58,166.6,Time Limit (60m),-0.01999999999998181,-0.009999999999990905,-54.99999999994998
BAJAJFINSV,2025-11-19,SHORT,GOLD,1.5526065356342684,2039.1,2041.0,Time Limit (60m),-1.900000000000091,-0.9500000000000455,-475.00000000002274
BAJAJFINSV,2025-11-27,LONG,GOLD,1.69101941568184,2105.5,2101.7,Time Limit (60m),-3.800000000000182,-1.900000000000091,-950.0000000000455
BAJAJFINSV,2025-12-01,SHORT,GOLD,1.6083798712197503,2082.6,2082.0,EOD,0.599999999999909,0.2999999999999545,149.99999999997726
BAJAJFINSV,2025-12-02,SHORT,QUIET,1.0139087182793718,2068.7,2061.4,Time Limit (60m),7.299999999999727,3.6499999999998636,1824.9999999999318
HINDUNILVR,2025-11-26,LONG,QUIET,1.241013634485608,2424.4,2425.4,Time Limit (60m),1.0,0.5,150.0
HINDUNILVR,2025-12-01,LONG,QUIET,1.189507757751396,2476.0,2463.62,SL Hit,-12.38000000000011,-6.190000000000055,-1857.0000000000164
HINDUNILVR,2025-12-02,LONG,GOLD,2.257104684907775,2482.7,2475.0,EOD,-7.699999999999818,-3.849999999999909,-1154.9999999999727
HINDUNILVR,2025-12-03,SHORT,QUIET,1.2636659828647279,2462.2,2441.5,EOD,20.699999999999818,10.349999999999909,3104.9999999999727
HINDALCO,2025-11-20,LONG,QUIET,1.463611490490094,796.6,799.75,Time Limit (60m),3.1499999999999773,1.5749999999999886,2204.999999999984
HINDALCO,2025-11-27,LONG,GOLD,2.0029633033701635,807.75,807.1,Time Limit (60m),-0.6499999999999773,-0.32499999999998863,-454.9999999999841
HINDALCO,2025-12-01,LONG,QUIET,1.1992324368996339,813.45,811.4,Time Limit (60m),-2.050000000000068,-1.025000000000034,-1435.0000000000477
HINDALCO,2025-12-02,SHORT,GOLD,1.7487630428804226,805.8,802.8,Time Limit (60m),3.0,1.5,2100.0
HINDALCO,2025-12-03,LONG,GOLD,2.493662279418056,812.9,817.1,Time Limit (60m),4.2000000000000455,2.1000000000000227,2940.000000000032
MARUTI,2025-11-19,SHORT,QUIET,1.3346096390085427,15771.0,15749.0,Time Limit (60m),22.0,11.0,550.0
MARUTI,2025-11-25,SHORT,GOLD,2.4952049129845677,15863.0,15910.0,EOD,-47.0,-23.5,-1175.0
MARUTI,2025-12-02,LONG,QUIET,1.339749818765135,16234.0,16245.0,EOD,11.0,5.5,275.0
BHARTIARTL,2025-11-21,LONG,QUIET,1.096950916242782,2168.7,2167.1,Time Limit (60m),-1.599999999999909,-0.7999999999999545,-759.9999999999568
BHARTIARTL,2025-11-24,SHORT,GOLD,2.1971108021656915,2149.0,2154.4,Time Limit (60m),-5.400000000000091,-2.7000000000000455,-2565.000000000043
BHARTIARTL,2025-11-25,LONG,GOLD,1.774838544193414,2165.6,2169.8,Time Limit (60m),4.200000000000273,2.1000000000001364,1995.0000000001296
BHARTIARTL,2025-11-28,SHORT,GOLD,2.314299710856494,2100.6,2100.0,EOD,0.599999999999909,0.2999999999999545,284.9999999999568
BHARTIARTL,2025-12-01,SHORT,GOLD,1.7548874041078941,2086.7,2094.1,Time Limit (60m),-7.400000000000091,-3.7000000000000455,-3515.000000000043
BHARTIARTL,2025-12-03,SHORT,GOLD,1.5095685504981784,2086.4,2087.4,Time Limit (60m),-1.0,-0.5,-475.0
BPCL,2025-11-19,SHORT,QUIET,1.3580111688177403,368.5,368.0,Time Limit (60m),0.5,0.25,450.0
BPCL,2025-11-25,SHORT,GOLD,1.7709878183089036,355.75,355.75,EOD,0.0,0.0,0.0
