Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,Reason
ADANIENT,2025-12-17 09:50:02,42.55,2025-12-17 11:07:44.433625,46.55,4.0,Trailing Stop
INDUSINDBK,2025-12-17 10:49:06,18.25,2025-12-17 11:10:20.091285,16.4,-1.8500000000000014,Hard Stop Loss
BHARTIARTL,2025-12-17 10:52:01,23.5,2025-12-17 11:15:06.271502,21.15,-2232.5000000000014,Hard Stop Loss
BAJAJFINSV,2025-12-17 11:37:06,21.85,2025-12-17 12:44:38.129148,27.35,5.5,Trailing Stop
BHARTIARTL,2025-12-17 12:51:09,28.65,2025-12-17 13:01:06.504274,25.7,-2802.4999999999995,Hard Stop Loss
INFY,2025-12-17 11:51:46,17.6,2025-12-17 13:24:02.481838,15.8,-720.0000000000002,Hard Stop Loss
ADANIENT,2025-12-17 12:03:04,38.1,2025-12-17 13:24:29.939363,42.4,4.299999999999997,Trailing Stop
ADANIENT,2025-12-17 13:27:04,46.85,2025-12-17 13:42:15.887098,42,-4.850000000000001,Hard Stop Loss
BAJAJFINSV,2025-12-17 12:54:05,28.05,2025-12-17 14:20:12.182997,24.75,-3.3000000000000007,Hard Stop Loss
TATASTEEL,2025-12-17 12:44:06,2.46,2025-12-17 15:00:22.468727,2.21,-0.25,Hard Stop Loss
INFY,2025-12-17 14:20:43,18.65,2025-12-17 15:12:12.108850,16.55,-839.9999999999991,Hard Stop Loss
HINDALCO,2025-12-17 09:58:05,15.25,2025-12-17 15:12:18.486846,13.7,-1.5500000000000007,Hard Stop Loss
BHARTIARTL,2025-12-17 10:55:00,24.5,2025-12-18 19:34:41.626534,21.85,-2.6499999999999986,Hard Stop Loss
INFY,2025-12-17 10:13:00,18.3,2025-12-18 19:35:10.136498,16.4,-760.0000000000009,Hard Stop Loss
HINDALCO,2025-12-17 13:04:00,15.5,2025-12-18 19:35:28.104809,13.9,-1.5999999999999996,Hard Stop Loss
INFY,2025-12-17 14:20:00,18.75,2025-12-18 19:35:44.333517,16.85,-759.9999999999994,Hard Stop Loss
INDUSINDBK,2025-12-18 10:10:00,14.55,2025-12-18 19:39:05.216076,16.2,1.6499999999999986,Trailing Stop
MARUTI,2025-12-18 11:10:00,163.4,2025-12-18 19:39:23.338800,145.4,-1800.0,Hard Stop Loss
BHARTIARTL,2025-12-18 13:49:00,21.05,2025-12-18 19:40:02.726556,23.6,2.5500000000000007,Trailing Stop
HINDALCO,2025-12-18 13:30:00,13.05,2025-12-18 19:40:09.517926,14.15,1.0999999999999996,Trailing Stop
TATASTEEL,2025-12-18 13:41:00,2.74,2025-12-18 19:40:09.674937,3.21,2584.9999999999986,Trailing Stop
ADANIENT,2025-12-18 14:54:00,28.15,2025-12-18 19:40:18.010604,24.85,-989.9999999999991,Hard Stop Loss
BHARTIARTL,2025-12-18 13:55:00,21.4,2025-12-18 19:47:41.043478,23.6,2.200000000000003,Trailing Stop
