Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,Reason
INDUSINDBK,2025-12-01 10:48:36,854.4,2025-12-01 10:55:00.040783,0.0,-854.4,Hard Stop Loss
INFY,2025-12-01 10:48:36,1559,2025-12-01 10:55:00.054956,0.0,-1559.0,Hard Stop Loss
TATASTEEL,2025-12-01 10:48:36,168.31,2025-12-01 10:55:00.082157,0.0,-168.31,Hard Stop Loss
BAJAJFINSV,2025-12-01 10:48:36,2089.6,2025-12-01 10:55:00.095215,0.0,-2089.6,Hard Stop Loss
BHARTIARTL,2025-12-01 10:48:36,2105.4,2025-12-01 10:55:00.146417,0.0,-2105.4,Hard Stop Loss
BPCL,2025-12-01 10:48:36,358.6,2025-12-01 10:55:00.160914,0.0,-358.6,Hard Stop Loss
KOTAKBANK,2025-12-01 10:48:36,2160.3,2025-12-01 10:55:00.176050,0.0,-2160.3,Hard Stop Loss
APOLLOHOSP,2025-12-01 10:53:49,7339,2025-12-01 10:55:00.191092,0.0,-7339.0,Hard Stop Loss
ADANIPORTS,2025-12-01 10:49:39,1546.6,2025-12-01 10:55:00.204470,0.0,-1546.6,Hard Stop Loss
EICHERMOT,2025-12-01 10:48:36,7115.5,2025-12-01 10:55:00.219265,0.0,-7115.5,Hard Stop Loss
SBIN,2025-12-01 10:48:36,984.35,2025-12-01 10:55:00.246368,0.0,-984.35,Hard Stop Loss
TECHM,2025-12-01 10:48:36,1513.1,2025-12-01 10:55:00.259632,0.0,-1513.1,Hard Stop Loss
AXISBANK,2025-12-01 10:48:36,1284.7,2025-12-01 10:55:00.272337,0.0,-1284.7,Hard Stop Loss
HCLTECH,2025-12-01 10:48:36,1633.5,2025-12-01 10:55:00.286761,0.0,-1633.5,Hard Stop Loss
ADANIENT,2025-12-01 11:28:11,2293.6,2025-12-02 09:16:51.061897,0.0,-2293.6,Hard Stop Loss
INDUSINDBK,2025-12-01 11:35:06,852.55,2025-12-02 09:16:51.075843,0.0,-852.55,Hard Stop Loss
BEL,2025-12-01 11:33:22,415.35,2025-12-02 09:16:51.099788,0.0,-415.35,Hard Stop Loss
TATASTEEL,2025-12-01 11:28:11,168.5,2025-12-02 09:16:51.110848,0.0,-168.5,Hard Stop Loss
BAJAJFINSV,2025-12-01 11:35:06,2097,2025-12-02 09:16:51.121962,0.0,-2097.0,Hard Stop Loss
HINDUNILVR,2025-12-01 11:28:11,2484.3,2025-12-02 09:16:51.133025,0.0,-2484.3,Hard Stop Loss
HINDALCO,2025-12-01 11:28:11,812.4,2025-12-02 09:16:51.146811,0.0,-812.4,Hard Stop Loss
MARUTI,2025-12-01 12:05:49,15861,2025-12-02 09:16:51.169327,0.0,-15861.0,Hard Stop Loss
BHARTIARTL,2025-12-01 11:28:11,2100.1,2025-12-02 09:16:51.181800,0.0,-2100.1,Hard Stop Loss
BPCL,2025-12-01 11:48:11,357.2,2025-12-02 09:16:51.193708,0.0,-357.2,Hard Stop Loss
KOTAKBANK,2025-12-01 11:43:07,2161,2025-12-02 09:16:51.207551,0.0,-2161.0,Hard Stop Loss
APOLLOHOSP,2025-12-01 11:55:01,7355,2025-12-02 09:16:51.221391,0.0,-7355.0,Hard Stop Loss
ADANIPORTS,2025-12-01 12:15:35,1531.6,2025-12-02 09:16:51.235803,0.0,-1531.6,Hard Stop Loss
EICHERMOT,2025-12-01 11:28:11,7094.5,2025-12-02 09:16:51.248918,0.0,-7094.5,Hard Stop Loss
SBIN,2025-12-01 11:33:22,981.8,2025-12-02 09:16:51.273153,0.0,-981.8,Hard Stop Loss
TECHM,2025-12-01 13:00:03,1522.6,2025-12-02 09:16:51.284569,0.0,-1522.6,Hard Stop Loss
AXISBANK,2025-12-01 11:29:59,1277.5,2025-12-02 09:16:51.297628,0.0,-1277.5,Hard Stop Loss
HCLTECH,2025-12-01 12:07:28,1639.6,2025-12-02 09:16:51.309048,0.0,-1639.6,Hard Stop Loss
AXISBANK,2025-12-02 10:55:26,1271.6,2025-12-02 11:05:01.711678,0.0,-1271.6,Hard Stop Loss
BHARTIARTL,2025-12-02 14:06:51,2103,2025-12-02 23:05:02.240227,0.0,-2103.0,Hard Stop Loss
HCLTECH,2025-12-03 00:04:02,1635.5,2025-12-03 04:30:10.290177,0.0,-1635.5,Hard Stop Loss
HINDALCO,2025-12-03 10:57:02,8.793000000000045,2025-12-03 11:06:01.580019,0.0,-404.65,Hard Stop Loss
HINDUNILVR,2025-12-03 12:50:05,13,2025-12-03 13:49:24.195721,2464.8,-2.0999999999999996,Hard Stop Loss
ADANIENT,2025-12-03 13:25:28,55.85,2025-12-03 15:00:27.832195,2182.6,11.149999999999999,Trailing Stop
BHARTIARTL,2025-12-03 13:29:40,26.45,2025-12-04 09:01:58.879860,2086,-902.4999999999993,Manual Reset - EOD Close
BEL,2025-12-03 13:55:57,10,2025-12-04 09:01:58.885986,403.95,-0.9000000000000004,Manual Reset - EOD Close
INFY,2025-12-03 15:00:23,34.5,2025-12-04 09:01:58.887415,1578.7,-419.99999999999886,Manual Reset - EOD Close
INFY,2025-12-04 10:15:38,31.85,2025-12-05 10:30:09.286603,1606,1319.9999999999989,Trailing Stop
